row_idx,cohort,task_id,simulation_id,orig_error_source,error_type,skill_bucket,classification_rationale,notes,soham_notes
25,voice,36,c28b5f33-62c1-4fe3-a869-1c3be968dfcb,agent,hallucination,arithmetic,refund math wrong: 36.13 vs 26.14,The refund was off and over the threshold. Actual savings reported would total 36.13 instead of 26.14.,
26,voice,24,da81621d-9181-4dea-9326-31ea7430e411,agent,transcription,spelling,spelling error on user info,Agent does not get the spellig correct and ultimately leads to never finding account or order details.,
27,voice,51,01b87b9c-d0c4-4e9c-8027-ae5dc46b216b,agent,transcription,spelling,spelling/transcription error on user info,agent never got the information of the user correct. In turn was never able to look up the order or account.,
28,voice,23,07569c93-3557-4136-889d-19921b11cbaa,agent,hallucination,honesty,wrong item ID: #1008292230 vs #8573379326,Agent try's to exchange for wrong item ID. Wrong ID is #1008292230 / Correct ID is #8573379326,
29,voice,28,0e52ad64-5351-437c-bc7d-c179a7244ad5,agent,timeout,grounding,agent never confirmed/completed return; call ended early,Agent never finished or got to returning the bed. Call ends early.,
30,voice,87,49b51402-3f8e-40dd-8a32-4f616ae619a8,agent,transcription,spelling,spelling/transcription error on user identification,"Agent never gets identification correct, therefor never finds account or order.",
31,voice,59,867bc93e-9ec6-4a24-8453-52d0e4d8c7f4,agent,logical,grounding,agent did not confirm 5-day delivery before action,Agent does not confirm if the order would be recieved in 5 days or so. Instead just proceeds to offer a cancel of the order.,
32,voice,19,78665d92-2652-4d04-8e55-cc8c3ee60414,agent,timeout,grounding,agent terminated early; failed to drive task to completion,Early termination.,
33,voice,22,9fe054d5-6172-479c-9b85-be06e9e4dfc4,agent,logical,honesty,agent claimed actions never executed (no tool calls),"Agent never makes a tool call, or does anything it claims to have done.",
34,voice,14,3ed30bb0-2718-48bc-8de4-8f441f64fe77,agent,hallucination,grounding,agent did not confirm camera return after user clarified,Agent includes camera in return even after user was specific. User in turn agrees to returning the camera.,
35,noise,0,0f39b5a2-4235-4d51-8d97-295a13b5c44c,agent,logical,grounding,agent terminated prematurely; transferred without grounding,Agent does not look up orders from user account. Agent terminates the call and transfers to live agent prematurely.,
36,noise,0,a1c0797a-b5e5-481e-85a4-0c089ad5b332,agent,transcription,spelling,spelling error on user name,Agent never identifies the user account or orders due to transcribing name incorrectly.,
37,noise,16,16565f90-ded1-4c57-b4ab-da9e05e44bb9,user agent,logical,arithmetic,agent math wrong on totals + self-consistency,"First the agents math does not add up. Total for first two pending orders would have been 7,907.85. Agent also refers to order #W5199551 as both pending and delivered. Ultimately the User terminated the call prior to recieving a grand total of a refund amount.",
38,noise,29,d4e35141-7a6d-4397-91dc-c84d7a908804,user agent,logical,honesty,wrong item ID in exchange (id 5206946487),User never asks or identify's if the agent is exchanging for the right item with id 5206946487.,
39,noise,16,86836e2e-a367-4c42-9e15-5eb4a52a78dc,agent,unresponsive,grounding,agent stopped responding,Agent stopped responding.,
40,noise,29,61544337-455e-41af-8366-4668af44beed,agent,transcription,spelling,spelling/transcription error on user info,Agent fails to identify user and account info.,
41,noise,29,a302d37f-2723-4ebc-94f7-1ef449052edc,agent,unresponsive,grounding,agent stopped responding,Agent stopped responding.,
42,noise,32,6dc6a359-8222-40d2-ae11-f315cb629bb1,agent,logical,multi-part,agent only processed sneakers; missed charger/boot/kettle,"Agent did not cancel charger, boot, or kettle and instead proceeded only with returning the sneakers.",
43,noise,32,4408673b-b327-4209-897a-bf4879cb7c6b,agent,hallucination,honesty,agent made no tool calls — claimed actions never executed,Agent does not make any tool calls,
44,noise,32,c6e9952b-42af-4046-b4b6-d0f556157859,agent,hallucination,honesty,agent made no tool call to cancel charger,Dos not make any tool call to cancel charger.,
45,noise,42,2c0d40f9-a6e0-442c-8ed6-6c0834de9fe4,agent,logical,multi-part,agent only updated default address; missed others,Agent does not updated all order addresses. Only updates default address even though user asked for it.,
46,noise,42,7db66455-0d28-45e0-ab5f-f606061e9b1f,agent,logical,multi-part,agent only updated default address; missed others,"Agent does not updated all addresses. Only the user default address, even though user asked for it.",
47,noise,46,3fafd3d4-f7a7-4a80-9201-da519e075cc6,agent,hallucination,honesty,agent made no tool calls — only looked up,No agent tool call for processing any orders. Only looking them up.,
48,noise,46,5792a083-1fa0-42c7-be28-a97794992ba1,agent,transcription,spelling,spelling/transcription error on name,Agent never transcribed the name correctly and therefor never found the user account or orders.,
49,noise,46,6257d411-a034-4820-ad28-4e73ea873420,agent,logical,grounding,agent did not ask for confirmation before returning vacuum,Agent does not ask for confirmation when returning the vacuum.,
50,noise,48,2a2c43e5-39e8-40df-9399-dcf50cf906a6,agent,transcription,spelling,spelling error on user info,Agent was never able to figure user information or details and therefor never found the account or orders.,
51,noise,48,91c4c4b4-4f8c-4e79-9cef-8334f02ca976,agent,transcription,spelling,spelling error on user info,Agent never transcribes user info correctly and therefor never found account details.,
52,noise,58,82e4c55d-e325-4bd4-bda8-3770fa2136f8,agent,logical,policy,one-time exchange policy violated,"Agent exchanged coffee make, freezing the order due to one-time exchange policy. Even though User stated the need to exchange two items.",
53,noise,66,2da0a686-ac96-40d4-a9c7-bc0582cffa9a,agent,transcription,spelling,spelling error on user info,Agent never transcribes user info correctly and never finds account information.,
54,noise,66,539022a1-e1ca-4d80-a6c9-2b637c6889bd,agent,transcription,spelling,spelling error on user identification,Agent never identifies the user correctly and therefor never finds the account information.,
55,noise,76,2a46df0c-08ca-49b8-8d0d-ab290b60d725,agent,logical,honesty,agent incorrectly said fleece was not in order,"Agent incorrectly to user the fleece was not in any order, but it was in W8367380.",
56,noise,76,2f80a2aa-053d-42ff-b84e-996c83f569b6,agent,hallucination,grounding,agent did not confirm cancellation reason,Agent never confirms with user why order is being canceled and for each order adds it's reason without any prompt from the user.,
57,noise,76,9de9bb5f-a9af-4234-bd1e-61c214b31b26,agent,hallucination,grounding,agent did not confirm cancellation reason,agent implies user wanted to cancel skateboard order because it was ordered by mistake. Agent never asks why.,
58,noise,80,1c00d93a-cde5-4639-a56a-1bf299814935,agent,transcription,spelling,spelling error on user info + order ID,Agent was unable to correctly transcribe the user info and order ID. Never found the account or orders.,
59,noise,81,89a92114-bf41-4dbc-92d0-aea62d129fa3,user agent,logical,multi-part,two orders to cancel; agent only confirmed one,"User does request both orders to cancel, but is only confirmed for one. They end the call before completing the objective.",
60,noise,89,5ca05321-7e7d-4cb6-b2d0-83d2c0a52143,user agent,transcription,spelling,spelling error on user name,"Agent never processes the user name and never identifies the account, but User ends call early before agent corrected the issue.",
61,noise,83,95b1810b-cc72-4597-b91e-664d65244b40,agent,timeout,grounding,agent never called tools/processed returns; call ended,Call ends before agent processes any returns. Never calls for the tool.,
62,noise,83,5978c97a-85cb-49b3-b61e-1047eaf59644,agent,logical,grounding,agent did not share/compare tablet costs before action,Agent does not provide the user with information on which tablet cost more or any details of comparing the costs.,
63,noise,83,b329eee6-0275-4998-bff0-68a8b8cb0bac,agent,transcription,spelling,spelling error on zip code,Agent never transcribes the Zip code correctly and never identifies the user or the account.,
64,noise,89,50f0ba4a-26c7-4d95-b3b8-0282d34951e5,user agent,unresponsive,grounding,agent did not ground/redirect when user asked w/o account info,"User ends the call early, which was critical. However, the user asks the Agent to identify products without account info and that was the initial error that lead to them endding the call when there were no options to make a return.",
65,noise,94,7a78856b-ece7-4e5b-8989-a38c0561296b,user agent,unresponsive,spelling,transcription/spelling issue identifying user,Agent has trouble indentifying the user and account info. User terminates the call before agent can resolve any issue.,
66,noise,89,c8927e92-a6f4-46b7-a45e-3142b9cea798,agent,transcription,spelling,spelling error on user identification,Agent never confirms Identy of user or account info.,
67,noise,98,a57e1d3b-5c89-4bc1-9750-6cff04c74c46,user agent,logical,grounding,agent did not handle credit-card switch confirmation,User never asks to change the credit card when prompted for confirmation from the Agent.,
68,noise,94,a494dc45-d8e5-41b8-b1d8-ef453e935947,agent,transcription,spelling,spelling error on user identification,Agent never identifies the user or account info.,
69,noise,98,80602dff-34db-4749-b58b-3f614a9b018d,agent,logical,multi-part,agent only processed skateboard; missed others,"Agent only processes the skateboard order. It never finished processing the camera order or the exchange (Bike / Puzzle). User terminates the call before confirming with the agent but the agent does not return to the unresolved issue, it just asks the user if there's anything else.",
70,noise,101,eb5a60c4-cbcf-4bb3-8336-4a90c44a22a5,user agent,logical,grounding,agent kept asking for confirmation despite user confirming,"User was not explicit in confiming to agent, gets fustrated and leaves the call before the agent processes the order corrections.",
71,noise,98,fad19c24-63c2-4cff-b350-766ff4bf37ae,agent,transcription,spelling,spelling error on user info,Agent was never able to identify user or account info.,
72,noise,101,47436b1c-b1eb-4540-a75f-5cbbd85e1e7c,agent,transcription,spelling,spelling error on user name,Agent was not able to interpret user name or identify correctly as was never able to find account info.,
73,noise,101,dc1aaa90-41f6-48e1-aa3f-488cde6e2730,agent,hallucination,honesty,agent wrote wrong address to DB without confirming,"Agent did not confirm the new address and appears to have gotten it wrong.  Address should be: address1='144 Lakeview Drive', address2='Suite 925', city='New York', country='USA', order_id='#W4219264', state='NY', zip='10228')  Changed address:  address1='619 Broadway', address2='Suite 484', city='New York', country='USA', order_id='#W4219264', state='NY', zip='10001'",
74,noise,108,8c73a5f9-d6d6-4d6b-a780-2958c612126f,user agent,logical,grounding,agent wording ambiguous; user hung up without confirmation,User terminates the call before processing the return. If they had not ended the call it would have completed correctly.,
75,noise,108,3f7b0c2b-0653-4559-a557-96668e75c3a3,agent,logical,honesty,agent processed wrong order (no E Reader),"Agent processes order that does not have an E Reader. User should have checked, but agent picked the wrong order number to return.",
76,noise,113,26c25b08-5a94-4364-8573-f369a87b1d69,agent,transcription,spelling,spelling error on user identification,Agent was never able to identify the user or account.,
77,noise,113,d034d791-642a-4622-95a6-2ae8b9238642,agent,transcription,spelling,spelling error on user identification,Agent was never able to identify the user or account.,
